Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
31703at7147	Single	ptg000032l_1	13463948	13478721	-	2036	436	0.6033	0.7774834437086092	0	31703at7147	13478317_13478721_-|13477407_13477627_-|13476906_13477344_-|13464645_13464786_-|13463949_13464583_-
76356at7147	Duplicated	ptg000040l_1	6701901	6702233	+	438	81	0.9551	0.3272058823529412	0	76356at7147	6701902_6702000_+|6702066_6702233_+
76356at7147	Duplicated	ptg000015l_1	13979842	13980172	-	438	81	0.9551	0.3272058823529412	0	76356at7147	13980074_13980172_-|13979843_13980010_-
53747at7147	Single	ptg000467l_1	1334974	1339662	+	953	199	0.7562	0.9230769230769231	0	53747at7147	1334975_1335171_+|1335239_1335519_+|1339424_1339662_+
59651at7147	Single	ptg000337l_1	2588229	2588664	+	538	132	0.669	0.8430232558139535	0	59651at7147	2588230_2588664_+
63495at7147	Single	ptg000020l_1	5179444	5198174	+	681	137	0.6786	0.9849246231155779	0	63495at7147	5179445_5179619_+|5191054_5191268_+|5197989_5198174_+
29552at7147	Single	ptg000014l_1	3375433	3376756	-	1194	304	0.5097	0.8461538461538461	0	29552at7147	3375434_3376756_-
51359at7147	Single	ptg000289l_1	2543432	2626126	+	1126	434	0.415	1.0	0	51359at7147	2543433_2543549_+|2596793_2597020_+|2597095_2597194_+|2608298_2608851_+|2611516_2611692_+|2617249_2617398_+|2617504_2617641_+|2617715_2617885_+|2625857_2626126_+
23039at7147	Single	ptg000031l_1	6183215	6184879	+	1541	406	0.5465	1.0	0	23039at7147	6183216_6183395_+|6183458_6184658_+|6184746_6184879_+
509at7147	Single	ptg000158l_1	7166842	7184809	-	11738	2089	0.8842	0.8554714384033035	0	509at7147	7183971_7184809_-|7183764_7183889_-|7182399_7183260_-|7181502_7182326_-|7181236_7181428_-|7166843_7170978_-
7171at7147	Single	ptg000045l_1	2508758	2522901	+	3330	721	0.6532	0.9881465517241379	0	7171at7147	2508759_2509358_+|2519992_2521117_+|2521702_2522557_+|2522694_2522901_+
29095at7147	Single	ptg000032l_1	7948523	7957449	-	1153	354	0.5701	0.7290552584670231	0	29095at7147	7957291_7957449_-|7948524_7949645_-
72346at7147	Single	ptg000049l_1	6512422	6532268	+	699	137	0.6171	1.0	0	72346at7147	6512423_6512653_+|6513589_6513823_+|6522752_6522916_+|6532153_6532268_+
18153at7147	Single	ptg000167l_1	4759661	4793106	+	2121	387	0.6797	0.9502332814930016	0	18153at7147	4759662_4759851_+|4783656_4784010_+|4784073_4784467_+|4792179_4792300_+|4792363_4793106_+
8406at7147	Single	ptg000081l_1	4882494	5055224	+	2794	584	0.6123	1.0	0	8406at7147	4882495_4882657_+|5003479_5003636_+|5003872_5004045_+|5037443_5037560_+|5037626_5037723_+|5037797_5037920_+|5051698_5051795_+|5051860_5052036_+|5052097_5052210_+|5052456_5052681_+|5052746_5052851_+|5052908_5053105_+|5053701_5054618_+|5054682_5054761_+|5055136_5055224_+
12554at7147	Single	ptg000120l_1	1867723	1939073	+	2742	599	0.7159	0.971830985915493	0	12554at7147	1867724_1868020_+|1874312_1875196_+|1875269_1875509_+|1875582_1875730_+|1890175_1890322_+|1890496_1890636_+|1938883_1939073_+
18587at7147	Single	ptg000081l_1	7012430	7019011	+	1815	722	0.3717	0.8310204081632653	0	18587at7147	7012431_7012772_+|7012832_7013059_+|7014144_7014783_+|7014844_7015787_+|7016218_7016411_+|7016472_7016898_+|7016960_7017139_+|7018727_7019011_+
37963at7147	Single	ptg000351l_1	2254476	2256439	-	1782	494	0.5714	0.38509705698184094	0	37963at7147	2254957_2256439_-|2254477_2254811_-
2625at7147	Single	ptg000186l_1	6950397	6962539	-	3905	1047	0.5861	0.6861555432984004	0	2625at7147	6962297_6962539_-|6959892_6961088_-|6953206_6953519_-|6952631_6953015_-|6951803_6952570_-|6951551_6951739_-|6950989_6951490_-|6950569_6950746_-|6950398_6950503_-
24200at7147	Single	ptg000010l_1	390789	442942	-	3135	485	0.5353	0.9318755256518082	0	24200at7147	441869_442942_-|439589_440002_-|439394_439523_-|438544_438631_-|419839_420193_-|400606_400855_-|399801_400543_-|390790_391068_-
24754at7147	Single	ptg000148l_1	5097700	5100320	-	1413	499	0.4459	0.48180494905385735	0	24754at7147	5099976_5100320_-|5099067_5099868_-|5098718_5099004_-|5097701_5098324_-
40274at7147	Single	ptg000292l_1	470922	477379	-	1378	333	0.6265	0.9610091743119266	0	40274at7147	476722_477379_-|471258_471640_-|470923_471174_-
14899at7147	Duplicated	ptg000086l_1	465052	467203	+	2548	591	0.6945	1.0	0	14899at7147	465053_465088_+|465146_465884_+|465969_467203_+
14899at7147	Duplicated	ptg000043l_1	513898	516048	+	2548	591	0.6945	1.0	0	14899at7147	513899_513934_+|513992_514730_+|514814_516048_+
59303at7147	Single	ptg000031l_1	6086321	6091259	+	876	164	0.9348	0.5068870523415978	0	59303at7147	6086322_6086544_+|6086744_6086930_+|6091118_6091259_+
53492at7147	Single	ptg000287l_1	7007216	7015362	-	1211	236	0.5499	0.9661733615221987	0	53492at7147	7014843_7015362_-|7014290_7014695_-|7007217_7007637_-
27220at7147	Single	ptg000112l_1	2961542	2978488	-	1243	461	0.3992	0.9914529914529915	0	27220at7147	2977433_2978488_-|2963296_2964060_-|2961656_2961963_-|2961543_2961594_-
63305at7147	Single	ptg000356l_1	2015308	2019257	-	865	257	0.4071	0.9656565656565657	0	63305at7147	2019188_2019257_-|2016517_2017105_-|2015761_2016402_-|2015505_2015695_-|2015309_2015442_-
48479at7147	Single	ptg000075l_1	13295147	13295869	+	755	188	0.638	0.8438818565400844	0	48479at7147	13295148_13295256_+|13295316_13295869_+
4453at7147	Single	ptg000287l_1	3503328	3563381	+	2765	733	0.5206	0.8212824010914052	0	4453at7147	3503329_3503601_+|3527468_3527611_+|3527671_3527946_+|3528398_3528553_+|3561120_3563381_+
16972at7147	Single	ptg000205l_1	1458250	1460366	+	2606	554	0.6573	0.9141347424042272	0	16972at7147	1458251_1459873_+|1459938_1460366_+
9084at7147	Single	ptg000186l_1	6826804	6845945	+	3884	761	0.8527	1.0	0	9084at7147	6826805_6826848_+|6826971_6827094_+|6827166_6828801_+|6828866_6829050_+|6829288_6829705_+|6829762_6829914_+|6845818_6845945_+
10352at7147	Single	ptg000329l_1	6257413	6275637	+	2833	949	0.4433	1.0	0	10352at7147	6257414_6257515_+|6257575_6258357_+|6258451_6258708_+|6259158_6259913_+|6260055_6260440_+|6260508_6260718_+|6271834_6271901_+|6272258_6272932_+|6274194_6274555_+|6274852_6275171_+|6275407_6275637_+
45320at7147	Single	ptg000031l_1	2486577	2489038	-	795	235	0.5518	0.9735973597359736	0	45320at7147	2488955_2489038_-|2487449_2487698_-|2486925_2487198_-|2486578_2486864_-
59872at7147	Single	ptg000329l_1	7497633	7498194	-	611	148	0.5936	1.0	0	59872at7147	7497634_7498194_-
11125at7147	Single	ptg000149l_1	5569232	5580305	+	1268	420	0.4974	0.8885350318471338	0	11125at7147	5569233_5570418_+|5570608_5570768_+|5570838_5570935_+|5580104_5580305_+
39057at7147	Single	ptg000132l_1	3634188	3661896	+	1552	376	0.6171	0.976545842217484	0	39057at7147	3634189_3634284_+|3650810_3651061_+|3651416_3651687_+|3661006_3661788_+|3661848_3661896_+
67792at7147	Single	ptg000330l_1	2400219	2400896	+	585	106	0.888	1.0	0	67792at7147	2400220_2400273_+|2400400_2400481_+|2400590_2400795_+|2400867_2400896_+
4291at7147	Single	ptg000062l_1	4551692	4830112	-	4427	867	0.7926	0.9572192513368984	0	4291at7147	4830044_4830112_-|4811538_4811658_-|4810846_4810979_-|4770936_4771018_-|4745758_4745860_-|4719542_4719647_-|4696246_4696375_-|4694921_4695042_-|4694736_4694818_-|4694202_4694337_-|4657491_4657647_-|4657000_4657392_-|4655602_4655721_-|4645679_4646041_-|4645403_4645592_-|4632814_4633029_-|4617622_4617729_-|4562278_4562406_-|4561829_4562028_-|4561403_4561542_-|4551693_4551781_-
51005at7147	Single	ptg000003l_1	1291624	1292557	+	1171	206	0.8246	1.0	0	51005at7147	1291625_1291650_+|1291716_1291876_+|1291941_1292557_+
47642at7147	Single	ptg000242l_1	141515	192734	+	1162	230	0.6277	1.0	0	47642at7147	141516_141564_+|144882_145342_+|145405_145528_+|151807_152069_+|192522_192734_+
51281at7147	Single	ptg000491l_1	818396	819540	+	647	173	0.5578	0.7163636363636363	0	51281at7147	818397_818634_+|819126_819368_+|819425_819540_+
55235at7147	Single	ptg000243l_1	1755453	1771490	+	959	322	0.4201	1.0	0	55235at7147	1755454_1755612_+|1755680_1756396_+|1770924_1771490_+
70439at7147	Single	ptg000032l_1	9984364	9985113	+	679	131	0.95	1.0	0	70439at7147	9984365_9984473_+|9984742_9984812_+|9984874_9985113_+
76216at7147	Single	ptg000217l_1	2720268	2722032	-	1198	289	0.5161	1.0	0	76216at7147	2722015_2722032_-|2721365_2721945_-|2720269_2721244_-
69541at7147	Single	ptg000055l_1	668911	669265	+	328	100	0.5378	1.0	0	69541at7147	668912_669265_+
11987at7147	Single	ptg000218l_1	1480874	1487194	-	3605	821	0.6221	0.9905749293119699	0	11987at7147	1486736_1487194_-|1486360_1486631_-|1486100_1486292_-|1483488_1483547_-|1483367_1483426_-|1481616_1483218_-|1481365_1481543_-|1481219_1481306_-|1480875_1481155_-
17764at7147	Single	ptg000075l_1	5201834	5225553	-	2201	734	0.385	1.0	0	17764at7147	5225463_5225553_-|5209554_5210777_-|5208419_5208853_-|5207857_5208294_-|5207377_5207574_-|5204992_5205129_-|5204137_5204387_-|5203746_5204065_-|5203133_5203475_-|5202893_5203068_-|5201835_5202274_-
48005at7147	Single	ptg000032l_1	5692340	5694190	-	1000	202	0.5061	0.9680170575692963	0	48005at7147	5694081_5694190_-|5693451_5693988_-|5693257_5693327_-|5692341_5693022_-
396at7147	Single	ptg000014l_1	328738	346636	-	11781	3762	0.4399	1.0	0	396at7147	346544_346636_-|339744_346479_-|337845_338956_-|329872_337649_-|329030_329813_-|328739_328918_-
42466at7147	Single	ptg000409l_1	1076402	1107595	+	1008	229	0.5333	0.7792207792207793	0	42466at7147	1076403_1076533_+|1093478_1094193_+|1094278_1094341_+|1107427_1107595_+
58117at7147	Single	ptg000066l_1	7228680	7229394	-	496	197	0.4149	1.0	0	58117at7147	7228681_7229394_-
37118at7147	Duplicated	ptg000024l_1	1295252	1308176	+	1648	591	0.4087	0.9364278506559032	0	37118at7147	1295253_1295399_+|1295467_1296718_+|1306873_1308176_+
37118at7147	Duplicated	ptg000156l_1	1052538	1061630	+	1638	591	0.4087	0.9364278506559032	0	37118at7147	1052539_1052685_+|1052751_1054002_+|1060327_1061630_+
8365at7147	Single	ptg000112l_1	1135705	1142127	-	3080	499	0.9021	0.9952830188679245	0	8365at7147	1142014_1142127_-|1141297_1141958_-|1140866_1140949_-|1140441_1140781_-|1140104_1140378_-|1139927_1140040_-|1139674_1139837_-|1135706_1135847_-
74162at7147	Single	ptg000243l_1	539859	549094	+	1545	685	0.4472	0.9955801104972376	0	74162at7147	539860_539973_+|540095_540245_+|545324_545505_+|545830_546051_+|546266_547360_+|548342_549094_+
40279at7147	Duplicated	ptg000274l_1	513836	521245	-	911	178	0.5986	0.9854014598540146	0	40279at7147	521100_521245_-|520129_520536_-|519942_520067_-|513837_513990_-
40279at7147	Duplicated	ptg000128l_1	710069	718347	+	879	178	0.5607	0.9854014598540146	0	40279at7147	710070_710215_+|710757_711353_+|718194_718347_+
33811at7147	Duplicated	ptg000289l_1	1493071	1494833	-	1694	306	0.9607	0.3954599761051374	0	33811at7147	1494713_1494833_-|1493494_1494002_-|1493072_1493434_-
33811at7147	Duplicated	ptg000279l_1	1276815	1278492	+	1694	306	0.9607	0.3954599761051374	0	33811at7147	1276816_1276936_+|1277563_1278071_+|1278130_1278492_+
24903at7147	Single	ptg000431l_1	121183	233512	+	2903	635	0.6369	0.9342379958246346	0	24903at7147	121184_121584_+|151843_151995_+|159266_159340_+|160223_160288_+|176268_176336_+|176470_176544_+|176626_177004_+|200953_201287_+|213716_213868_+|213980_214122_+|232269_232893_+|233281_233512_+
14367at7147	Duplicated	ptg000189l_1	18940	54134	+	3054	574	0.7974	1.0	0	14367at7147	18941_19251_+|48025_48220_+|48296_48529_+|48592_49055_+|49115_49283_+|53451_54134_+
14367at7147	Duplicated	ptg000230l_1	6806583	6842930	+	3023	574	0.7748	1.0	0	14367at7147	6806584_6806894_+|6837024_6837219_+|6837276_6837509_+|6837572_6838264_+|6842247_6842930_+
40951at7147	Single	ptg000002l_1	8163702	8169705	+	923	217	0.6304	1.0	0	40951at7147	8163703_8163834_+|8168953_8169210_+|8169274_8169705_+
981at7147	Duplicated	ptg000132l_1	10008563	10059623	-	5432	1220	0.5735	0.8982064953950557	0	981at7147	10059457_10059623_-|10051164_10051530_-|10049070_10050842_-|10043709_10043939_-|10038789_10038963_-|10038268_10038727_-|10037822_10038154_-|10037027_10037243_-|10032497_10032863_-|10031431_10031563_-|10027034_10027432_-|10026103_10026934_-|10025457_10025961_-|10008564_10008784_-
981at7147	Duplicated	ptg000200l_1	517070	583052	-	5428	1220	0.5697	0.8996606883179835	0	981at7147	582877_583052_-|571863_572229_-|569769_571541_-|565989_566219_-|550674_550848_-|550153_550612_-|549905_550038_-|549705_549843_-|548913_549129_-|537725_538091_-|536975_537107_-|532314_532712_-|530737_532214_-|517071_517291_-
4208at7147	Single	ptg000194l_1	26120836	26130362	-	4229	955	0.7016	1.0	0	4208at7147	26128688_26130362_-|26128157_26128561_-|26120837_26122239_-
43857at7147	Single	ptg000470l_1	635293	643914	+	1009	242	0.6518	1.0	0	43857at7147	635294_635365_+|635440_635500_+|643145_643914_+
49573at7147	Single	ptg000139l_1	8378428	8388211	-	1258	406	0.5092	1.0	0	49573at7147	8387937_8388211_-|8387252_8387372_-|8379137_8380021_-|8378894_8379072_-|8378429_8378706_-
31424at7147	Single	ptg000279l_1	6964547	6966174	-	1007	307	0.4307	0.6545454545454545	0	31424at7147	6966010_6966174_-|6965594_6965951_-|6964548_6965434_-
33638at7147	Single	ptg000436l_1	1543380	1568085	+	1258	265	0.4392	1.0	0	33638at7147	1543381_1543461_+|1543669_1543857_+|1563246_1563336_+|1566155_1568085_+
68516at7147	Single	ptg000218l_1	3171903	3173179	-	888	195	0.4246	0.8696629213483146	0	68516at7147	3173045_3173179_-|3171904_3172920_-
25505at7147	Single	ptg000052l_1	2060289	2083420	-	2087	408	0.8938	0.4642082429501085	0	25505at7147	2083277_2083420_-|2061162_2062183_-|2060947_2061085_-|2060290_2060394_-
57922at7147	Single	ptg000164l_1	937591	938749	-	918	177	0.5785	0.9139784946236559	0	57922at7147	938574_938749_-|937592_938429_-
54914at7147	Single	ptg000125l_1	9165630	9166581	+	628	158	0.6269	0.8539823008849557	0	54914at7147	9165631_9165771_+|9165836_9165987_+|9166231_9166327_+|9166393_9166581_+
24329at7147	Duplicated	ptg000063l_1	3797937	3801426	+	1454	337	0.6259	0.9145833333333333	0	24329at7147	3797938_3798045_+|3798259_3799329_+|3801304_3801426_+
24329at7147	Duplicated	ptg000244l_1	9631161	9634650	+	1454	337	0.6259	0.9145833333333333	0	24329at7147	9631162_9631269_+|9631483_9632553_+|9634528_9634650_+
55254at7147	Single	ptg000075l_1	2405367	2406055	-	1082	140	1.0	1.0	0	55254at7147	2405910_2406055_-|2405368_2405851_-
60981at7147	Single	ptg000049l_1	1354324	1355153	+	842	151	0.936	0.43	0	60981at7147	1354325_1354704_+|1354775_1354865_+|1355109_1355153_+
58551at7147	Single	ptg000205l_1	2177881	2178599	+	634	154	0.6443	1.0	0	58551at7147	2177882_2177923_+|2178066_2178599_+
15319at7147	Single	ptg000083l_1	993133	995610	-	2822	573	0.9018	0.8804034582132565	0	15319at7147	994320_995610_-|993597_993806_-|993344_993531_-|993134_993277_-
37504at7147	Duplicated	ptg000410l_1	72523	88779	+	880	328	0.4527	0.975	0	37504at7147	72524_72899_+|73646_73902_+|88144_88779_+
37504at7147	Duplicated	ptg000005l_1	8507224	8518345	+	879	328	0.4527	0.975	0	37504at7147	8507225_8507600_+|8508347_8508603_+|8517710_8518345_+
22318at7147	Single	ptg000043l_1	1858365	1860234	+	2281	469	0.814	0.7801724137931034	0	22318at7147	1858366_1858399_+|1858464_1858525_+|1858599_1859200_+|1859316_1860234_+
26367at7147	Single	ptg000002l_1	11786765	11788662	+	995	293	0.4722	0.9751861042183623	0	26367at7147	11786766_11787524_+|11787861_11788102_+|11788370_11788498_+|11788563_11788662_+
21695at7147	Single	ptg000474l_1	6489780	6514510	+	2070	430	0.7219	1.0	0	21695at7147	6489781_6489897_+|6512628_6513326_+|6513394_6513811_+|6514006_6514364_+|6514427_6514510_+
51512at7147	Duplicated	ptg000123l_1	6840867	6842127	+	1276	237	0.6603	0.9915730337078652	0	51512at7147	6840868_6841377_+|6841573_6842127_+
51512at7147	Duplicated	ptg000325l_1	4565820	4567077	-	1291	237	0.6594	0.9915730337078652	0	51512at7147	4566568_4567077_-|4565821_4566372_-
56659at7147	Single	ptg000110l_1	806332	807302	+	664	140	0.6964	0.8038277511961722	0	56659at7147	806333_806521_+|806812_806953_+|807028_807077_+|807180_807302_+
61812at7147	Single	ptg000041l_1	15490683	15492500	-	1013	298	0.5365	0.9473684210526315	0	61812at7147	15492271_15492500_-|15491936_15492203_-|15491221_15491539_-|15490979_15491089_-|15490684_15490916_-
25168at7147	Duplicated	ptg000400l_1	2316303	2318020	+	2041	439	0.7524	0.847571189279732	0	25168at7147	2316304_2316674_+|2316736_2316884_+|2316954_2318020_+
25168at7147	Duplicated	ptg000237l_1	4344171	4345888	-	2041	439	0.7524	0.847571189279732	0	25168at7147	4345518_4345888_-|4345308_4345456_-|4344172_4345238_-
65272at7147	Single	ptg000015l_1	12247604	12247862	+	425	80	0.9767	0.9772727272727273	0	65272at7147	12247605_12247862_+
68444at7147	Single	ptg000289l_1	2829277	2829781	-	589	134	0.6667	0.8442211055276382	0	68444at7147	2829278_2829781_-
69847at7147	Single	ptg000455l_1	533989	562332	-	286	95	0.332	1.0	0	69847at7147	562133_562332_-|542149_542248_-|533990_534430_-
25366at7147	Single	ptg000412l_1	1280185	1300230	+	606	277	0.332	0.9158316633266533	0	25366at7147	1280186_1280786_+|1280850_1281067_+|1281126_1281316_+|1281382_1281568_+|1300012_1300230_+
47953at7147	Single	ptg000089l_1	1208990	1229766	+	1355	385	0.4564	0.9984	0	47953at7147	1208991_1209195_+|1218780_1218943_+|1219153_1219508_+|1228306_1229253_+|1229547_1229766_+
27504at7147	Single	ptg000015l_1	9629661	9698420	-	1767	324	0.8392	0.5400271370420624	0	27504at7147	9698308_9698420_-|9679675_9679844_-|9676174_9676306_-|9668241_9668392_-|9667488_9667578_-|9667140_9667276_-|9661007_9661104_-|9630672_9630830_-|9629662_9629793_-
22365at7147	Single	ptg000194l_1	17273900	17298252	+	1292	408	0.4793	0.9862475442043221	0	22365at7147	17273901_17273975_+|17274031_17274721_+|17297519_17298252_+
47597at7147	Single	ptg000203l_1	11995536	12090088	-	1481	220	0.5136	0.965	0	47597at7147	12089850_12090088_-|12089574_12089707_-|12078681_12078830_-|12078448_12078581_-|12058407_12058710_-|12031070_12031153_-|12017997_12018089_-|11996064_11996398_-|11995537_11995776_-
57063at7147	Duplicated	ptg000068l_1	182951	190288	+	1049	219	0.73	1.0	0	57063at7147	182952_182975_+|183047_183615_+|189706_189863_+|190152_190288_+
57063at7147	Duplicated	ptg000281l_1	988647	995474	+	1024	217	0.7133	1.0	0	57063at7147	988648_989240_+|994880_995062_+|995354_995474_+
9064at7147	Single	ptg000182l_1	2105850	2143069	-	4156	631	0.6472	0.9756944444444444	0	9064at7147	2142947_2143069_-|2142524_2142643_-|2142348_2142461_-|2141960_2142289_-|2107643_2109187_-|2107158_2107455_-|2105851_2106949_-
27975at7147	Single	ptg000014l_1	6997762	7003748	+	2082	561	0.6612	0.7836107554417413	0	27975at7147	6997763_6997933_+|7001872_7002765_+|7002913_7003464_+|7003533_7003748_+
6739at7147	Single	ptg000508l_1	2429080	2447702	-	2871	577	0.6824	1.0	0	6739at7147	2447441_2447702_-|2445945_2446344_-|2438147_2439611_-|2429081_2429508_-
42799at7147	Single	ptg000065l_1	17368379	17369687	+	1155	344	0.5069	0.96	0	42799at7147	17368380_17369687_+
15947at7147	Single	ptg000300l_1	1263824	1275741	+	2473	538	0.8311	0.9451612903225807	0	15947at7147	1263825_1263896_+|1273882_1274529_+|1274585_1275350_+|1275470_1275741_+
41591at7147	Single	ptg000026l_1	243054	267972	-	1517	289	0.6522	1.0	0	41591at7147	267906_267972_-|256722_257173_-|256207_256287_-|255951_256120_-|250677_251147_-|243055_243238_-
18000at7147	Single	ptg000004l_1	336056	338243	+	1580	498	0.4503	0.48110661268556004	0	18000at7147	336057_338243_+
29860at7147	Duplicated	ptg000066l_1	1044617	1052691	+	1787	346	0.7811	0.8052208835341366	0	29860at7147	1044618_1044734_+|1051603_1052691_+
29860at7147	Duplicated	ptg000060l_1	240116	246866	-	1786	346	0.7811	0.8052208835341366	0	29860at7147	246750_246866_-|240117_241205_-
67217at7147	Single	ptg000286l_1	2159528	2160114	-	633	136	0.7269	1.0	0	67217at7147	2159718_2160114_-|2159529_2159651_-
45811at7147	Single	ptg000020l_1	4279715	4293289	-	880	211	0.6154	0.8482758620689655	0	45811at7147	4293074_4293289_-|4292747_4293010_-|4279716_4279976_-
50614at7147	Single	ptg000137l_1	15082516	15084160	-	1485	297	0.8391	0.9885714285714285	0	50614at7147	15083301_15084160_-|15082517_15082688_-
36707at7147	Single	ptg000256l_1	1171996	1173661	+	1048	275	0.4365	0.4851674641148325	0	36707at7147	1171997_1173661_+
69175at7147	Single	ptg000065l_1	6850736	6866544	+	503	104	0.812	1.0	0	69175at7147	6850737_6850945_+|6866406_6866544_+
23416at7147	Single	ptg000052l_1	9997831	9999431	+	1193	337	0.5	0.9846491228070176	0	23416at7147	9997832_9998309_+|9998369_9998884_+|9998943_9999262_+|9999324_9999431_+
24943at7147	Single	ptg000137l_1	3358740	3397218	+	1936	321	0.9126	0.641914191419142	0	24943at7147	3358741_3358971_+|3377181_3377372_+|3390763_3391050_+|3391119_3391272_+|3396852_3397029_+|3397095_3397218_+
47948at7147	Single	ptg000437l_1	2364741	2365914	-	970	308	0.5577	0.6394686907020873	0	47948at7147	2365333_2365914_-|2364742_2365245_-
30913at7147	Single	ptg000120l_1	6877270	6893658	+	2682	1042	0.4221	0.9946401225114855	0	30913at7147	6877271_6877339_+|6877405_6878186_+|6878253_6879128_+|6891124_6892390_+|6892677_6893554_+|6893616_6893658_+
73065at7147	Single	ptg000170l_1	1461334	1462136	+	468	120	0.4845	1.0	0	73065at7147	1461335_1461588_+|1461818_1462136_+
5382at7147	Single	ptg000081l_1	783968	837725	-	4059	964	0.644	0.5478219696969697	0	5382at7147	837585_837725_-|813061_813262_-|812413_812915_-|803559_804259_-|802979_803236_-|802785_802899_-|802537_802718_-|787759_788306_-|786853_787611_-|784101_784240_-|783969_784025_-
